ParsedDate,States,Regions,Actual,Predicted,Absolute_Error,Percentage_Error
2020-06-04,Andhra Pradesh,SR,156.4,155.70393,0.6960662841796932,0.44505516891284724
2020-06-05,Andhra Pradesh,SR,156.0,154.87204,1.127960205078125,0.7230514135116186
2020-07-01,Andhra Pradesh,SR,155.0,156.35783,1.3578338623046875,0.8760218466481855
2020-07-02,Andhra Pradesh,SR,150.3,157.8598,7.559802246093739,5.029808546968555
2020-07-03,Andhra Pradesh,SR,157.2,159.33073,2.130734252929699,1.3554289140774167
2020-07-04,Andhra Pradesh,SR,153.6,166.08006,12.480062866210943,8.12504092852275
2020-07-05,Andhra Pradesh,SR,159.4,162.19469,2.794686889648432,1.753254008562379
2020-08-01,Andhra Pradesh,SR,163.6,163.72934,0.12933959960938068,0.07905843496905911
2020-08-02,Andhra Pradesh,SR,167.9,166.43527,1.4647277832031307,0.8723810501507627
2020-08-03,Andhra Pradesh,SR,169.6,176.45319,6.853186035156256,4.040793652804396
2020-08-04,Andhra Pradesh,SR,169.7,171.53847,1.8384674072265739,1.0833632334864902
2020-08-05,Andhra Pradesh,SR,195.3,176.44844,18.8515594482422,9.652616204937122
2020-09-01,Andhra Pradesh,SR,195.9,191.35097,4.549032592773443,2.322119751288128
2020-09-02,Andhra Pradesh,SR,201.2,191.4592,9.740802001953114,4.84135288367451
2020-09-03,Andhra Pradesh,SR,199.5,201.25635,1.75634765625,0.8803747650375939
2020-09-04,Andhra Pradesh,SR,194.7,195.48592,0.7859161376953239,0.4036549243427447
2020-09-05,Andhra Pradesh,SR,185.7,190.34991,4.649914550781261,2.503992757555876
2020-10-01,Andhra Pradesh,SR,182.4,185.2605,2.8604980468749943,1.5682555081551501
2020-10-02,Andhra Pradesh,SR,169.9,179.5164,9.616403198242182,5.660037197317353
2020-10-03,Andhra Pradesh,SR,171.9,169.77565,2.124349975585943,1.2358056867864706
2020-10-04,Andhra Pradesh,SR,171.4,170.70132,0.6986755371093807,0.40762866809182063
2020-10-05,Andhra Pradesh,SR,179.4,172.16881,7.231192016601568,4.030764780714363
2020-11-01,Andhra Pradesh,SR,169.3,173.2302,3.9301940917968636,2.321437738804999
2020-11-02,Andhra Pradesh,SR,179.4,171.60184,7.798162841796881,4.3468020299871135
2020-11-03,Andhra Pradesh,SR,175.1,179.17836,4.078359985351568,2.329160471360119
2020-11-04,Andhra Pradesh,SR,195.1,173.17339,21.926614379882807,11.238654218289497
2020-11-05,Andhra Pradesh,SR,195.8,189.49376,6.306240844726574,3.220756304763316
2020-12-01,Andhra Pradesh,SR,196.5,191.384,5.115997314453125,2.6035609742763994
2020-12-02,Andhra Pradesh,SR,197.6,190.95937,6.640634155273432,3.3606448154217774
2020-12-03,Andhra Pradesh,SR,197.3,195.27435,2.0256469726562614,1.0266837165008929
2020-12-04,Andhra Pradesh,SR,186.1,194.90167,8.801672363281256,4.7295391527572574
2020-12-05,Andhra Pradesh,SR,181.9,185.34634,3.4463439941406193,1.8946366103027044
2020-02-28,Arunachal Pradesh,NER,2.2,1.5760348,0.6239652156829836,28.362055258317433
2020-02-29,Arunachal Pradesh,NER,1.8,2.8717706,1.0717706203460693,59.542812241448296
2020-03-01,Arunachal Pradesh,NER,2.1,2.2280886,0.128088617324829,6.099457967849
2020-03-02,Arunachal Pradesh,NER,2.2,2.441887,0.24188690185546857,10.994859175248571
2020-03-03,Arunachal Pradesh,NER,2.1,2.5844107,0.4844106674194335,23.067174639020642
2020-03-04,Arunachal Pradesh,NER,2.2,2.4657013,0.26570134162902814,12.07733371041037
2020-03-05,Arunachal Pradesh,NER,2.2,2.510255,0.31025509834289533,14.102504470131604
2020-03-13,Arunachal Pradesh,NER,2.4,1.5920355,0.8079644680023192,33.665186166763306
2020-03-14,Arunachal Pradesh,NER,2.3,1.7439182,0.5560818195343016,24.177470414534852
2020-03-15,Arunachal Pradesh,NER,2.2,2.195063,0.004936885833740412,0.22440390153365508
2020-03-16,Arunachal Pradesh,NER,2.1,2.8313274,0.7313274383544921,34.82511611211867
2020-03-17,Arunachal Pradesh,NER,2.2,2.3253336,0.12533359527587873,5.696981603449033
2020-03-18,Arunachal Pradesh,NER,2.5,2.2923756,0.2076244354248047,8.304977416992188
2020-03-19,Arunachal Pradesh,NER,2.3,2.4288077,0.1288077354431154,5.600336323613714
2020-03-20,Arunachal Pradesh,NER,2.2,2.17246,0.027539920806884943,1.2518145821311337
2020-03-21,Arunachal Pradesh,NER,2.3,2.1526046,0.1473954200744627,6.4084965249766395
2020-03-22,Arunachal Pradesh,NER,1.5,2.4401817,0.9401817321777344,62.67878214518229
2020-03-23,Arunachal Pradesh,NER,1.5,2.0967047,0.5967047214508057,39.78031476338704
2020-03-24,Arunachal Pradesh,NER,1.5,1.8445562,0.34455621242523193,22.97041416168213
2020-03-25,Arunachal Pradesh,NER,2.1,1.7704005,0.3295994758605958,15.695213136218847
2020-03-26,Arunachal Pradesh,NER,2.0,1.9278506,0.07214939594268799,3.6074697971343994
2020-03-27,Arunachal Pradesh,NER,1.4,2.0600836,0.6600836277008058,47.14883055005756
2020-03-28,Arunachal Pradesh,NER,1.7,3.030279,1.3302789211273194,78.2517012427835
2020-03-29,Arunachal Pradesh,NER,2.1,4.596586,2.496586227416992,118.88505844842818
2020-03-30,Arunachal Pradesh,NER,2.0,1.4662185,0.5337815284729004,26.68907642364502
2020-03-31,Arunachal Pradesh,NER,2.2,4.443447,2.243447113037109,101.97486877441403
2020-04-01,Arunachal Pradesh,NER,2.0,2.34241,0.3424100875854492,17.12050437927246
2020-04-02,Arunachal Pradesh,NER,2.1,2.3358023,0.23580231666564933,11.2286817459833
2020-04-03,Arunachal Pradesh,NER,2.0,2.318011,0.3180110454559326,15.90055227279663
2020-04-04,Arunachal Pradesh,NER,2.0,2.318011,0.3180110454559326,15.90055227279663
2020-04-05,Arunachal Pradesh,NER,2.2,2.305961,0.10596089363098127,4.816404255953693
2020-04-13,Arunachal Pradesh,NER,2.3,2.3805125,0.0805124759674074,3.5005424333655397
2020-04-14,Arunachal Pradesh,NER,2.2,2.3805125,0.18051247596740705,8.205112543973048
2020-04-15,Arunachal Pradesh,NER,2.4,2.0054333,0.3945666790008544,16.440278291702267
2020-04-16,Arunachal Pradesh,NER,2.4,2.2848487,0.11515130996704093,4.797971248626705
2020-04-17,Arunachal Pradesh,NER,2.3,2.323067,0.02306694984436053,1.002910862798284
2020-04-18,Arunachal Pradesh,NER,2.4,2.2887702,0.11122980117797843,4.634575049082434
2020-04-19,Arunachal Pradesh,NER,2.2,2.5874324,0.3874323844909666,17.61056293140757
2020-04-20,Arunachal Pradesh,NER,2.3,2.4828413,0.18284125328063983,7.9496197078539055
2020-04-21,Arunachal Pradesh,NER,2.2,2.4629858,0.26298575401306135,11.953897909684606
2020-04-22,Arunachal Pradesh,NER,2.2,2.3888302,0.18883018493652326,8.58319022438742
2020-04-23,Arunachal Pradesh,NER,2.3,2.3888302,0.08883018493652362,3.8621819537618967
2020-04-24,Arunachal Pradesh,NER,2.1,2.2689147,0.16891469955444327,8.043557121640156
2020-04-25,Arunachal Pradesh,NER,2.0,2.224361,0.22436094284057617,11.218047142028809
2020-04-26,Arunachal Pradesh,NER,2.2,2.463971,0.263970899581909,11.998677253723136
2020-04-27,Arunachal Pradesh,NER,2.2,2.239598,0.03959803581237775,1.7999107187444432
2020-04-28,Arunachal Pradesh,NER,2.1,2.2124918,0.112491750717163,5.356750034150619
2020-04-29,Arunachal Pradesh,NER,2.1,2.1978064,0.09780635833740225,4.657445635114392
2020-04-30,Arunachal Pradesh,NER,2.0,1.5315676,0.4684324264526367,23.421621322631836
2020-05-01,Arunachal Pradesh,NER,2.0,2.3702736,0.3702735900878906,18.51367950439453
2020-05-02,Arunachal Pradesh,NER,2.2,2.4082196,0.20821957588195783,9.464526176452628
2020-05-03,Arunachal Pradesh,NER,1.3,2.4407232,1.140723180770874,87.74793698237492
2020-05-04,Arunachal Pradesh,NER,1.4,2.172106,0.7721060276031495,55.15043054308211
2020-05-05,Arunachal Pradesh,NER,1.3,1.9792161,0.6792160987854003,52.247392214261566
2020-05-13,Arunachal Pradesh,NER,1.8,1.7486606,0.05133943557739262,2.852190865410701
2020-05-14,Arunachal Pradesh,NER,1.9,1.9752939,0.07529387474060067,3.962835512663194
2020-05-15,Arunachal Pradesh,NER,1.7,1.7403039,0.04030387401580815,2.37081611857695
2020-05-16,Arunachal Pradesh,NER,1.8,1.9237686,0.12376863956451412,6.876035531361895
2020-05-17,Arunachal Pradesh,NER,2.2,2.76541,0.5654099464416502,25.700452110984102
2020-05-18,Arunachal Pradesh,NER,2.2,2.319766,0.11976604461669904,5.443911118940865
2020-05-19,Arunachal Pradesh,NER,2.3,2.4177356,0.11773557662963885,5.118938114332124
2020-05-20,Arunachal Pradesh,NER,2.3,2.34358,0.043580007553100764,1.8947829370913376
2020-05-21,Arunachal Pradesh,NER,2.2,2.3237245,0.12372450828552228,5.623841285705558
2020-05-22,Arunachal Pradesh,NER,2.0,2.1787062,0.17870616912841797,8.935308456420898
2020-05-23,Arunachal Pradesh,NER,2.7,2.1341524,0.5658475875854494,20.957318058720347
2020-06-01,Arunachal Pradesh,NER,2.3,3.7267594,1.426759433746338,62.03301885853644
2020-06-02,Arunachal Pradesh,NER,2.3,2.4304695,0.1304695129394533,5.672587519106666
2020-06-03,Arunachal Pradesh,NER,2.1,2.4465225,0.34652247428894034,16.501070204235255
2020-06-04,Arunachal Pradesh,NER,2.1,2.4019687,0.30196871757507315,14.37946274167015
2020-06-05,Arunachal Pradesh,NER,2.2,2.1107433,0.08925671577453631,4.057123444297105
2020-07-01,Arunachal Pradesh,NER,2.3,2.5003498,0.20034976005554217,8.710859132849661
2020-07-02,Arunachal Pradesh,NER,2.1,2.5382957,0.4382957458496093,20.871225992838536
2020-07-03,Arunachal Pradesh,NER,2.5,2.2025166,0.2974834442138672,11.899337768554688
2020-07-04,Arunachal Pradesh,NER,2.4,2.3835025,0.01649751663207999,0.6873965263366663
2020-07-05,Arunachal Pradesh,NER,2.2,2.2780108,0.078010845184326,3.545947508378454
2020-08-01,Arunachal Pradesh,NER,2.4,2.4393957,0.03939566612243661,1.641486088434859
2020-08-02,Arunachal Pradesh,NER,2.3,2.5082822,0.20828218460083026,9.055747156557837
2020-08-03,Arunachal Pradesh,NER,2.3,2.5717132,0.27171320915222186,11.813617789227038
2020-08-04,Arunachal Pradesh,NER,2.1,2.5717132,0.4717132091522216,22.46253376915341
2020-08-05,Arunachal Pradesh,NER,2.1,2.453004,0.3530038833618163,16.809708731515062
2020-09-01,Arunachal Pradesh,NER,2.2,2.4892135,0.28921346664428693,13.146066665649405
2020-09-02,Arunachal Pradesh,NER,2.1,2.4975576,0.3975576400756835,18.931316194080168
2020-09-03,Arunachal Pradesh,NER,2.1,2.453004,0.3530038833618163,16.809708731515062
2020-09-04,Arunachal Pradesh,NER,2.2,2.432788,0.23278789520263654,10.581267963756206
2020-09-05,Arunachal Pradesh,NER,2.3,2.4773417,0.17734165191650408,7.710506605065396
2020-10-01,Arunachal Pradesh,NER,2.3,2.2798762,0.020123767852783025,0.8749464283818706
2020-10-02,Arunachal Pradesh,NER,2.3,2.2976062,0.00239377021789533,0.10407696599544915
2020-10-03,Arunachal Pradesh,NER,2.2,2.2976062,0.09760622978210431,4.436646808277469
2020-10-04,Arunachal Pradesh,NER,2.2,2.2976062,0.09760622978210431,4.436646808277469
2020-10-05,Arunachal Pradesh,NER,2.4,2.3919778,0.008022212982177646,0.3342588742574019
2020-11-01,Arunachal Pradesh,NER,2.2,1.248255,0.9517449855804445,43.26113570820202
2020-11-02,Arunachal Pradesh,NER,2.1,2.1023564,0.0023564338684081143,0.11221113659086257
2020-11-03,Arunachal Pradesh,NER,2.2,2.0578027,0.14219732284545916,6.463514674793598
2020-11-04,Arunachal Pradesh,NER,2.0,2.0282009,0.028200864791870117,1.4100432395935059
2020-11-05,Arunachal Pradesh,NER,2.0,1.9836471,0.01635289192199707,0.8176445960998535
2020-12-01,Arunachal Pradesh,NER,2.1,2.1950161,0.09501614570617667,4.524578366960793
2020-12-02,Arunachal Pradesh,NER,2.1,2.1588066,0.058806562423705966,2.8003124963669506
2020-12-03,Arunachal Pradesh,NER,2.1,2.407961,0.3079608917236327,14.664804367792033
2020-12-04,Arunachal Pradesh,NER,2.0,2.387745,0.3877449035644531,19.387245178222656
2020-12-05,Arunachal Pradesh,NER,2.1,2.387745,0.28774490356445304,13.702138264973954
2020-02-28,Assam,NER,24.4,22.803263,1.5967372894287095,6.544005284543891
2020-02-29,Assam,NER,23.3,24.60682,1.3068191528320305,5.608665891982963
2020-03-01,Assam,NER,22.6,23.59094,0.9909404754638658,4.38469236930914
2020-03-02,Assam,NER,22.4,23.708376,1.3083759307861342,5.840963976723814
2020-03-03,Assam,NER,22.0,23.708376,1.7083759307861328,7.765345139936968
2020-03-04,Assam,NER,23.0,22.944649,0.05535125732421875,0.2406576405400815
2020-03-05,Assam,NER,22.4,23.67122,1.2712207794189467,5.675092765263155
2020-03-13,Assam,NER,23.1,22.394335,0.7056652069091811,3.0548277355375806
2020-03-14,Assam,NER,21.6,22.500881,0.900881195068358,4.17074627346462
2020-03-15,Assam,NER,34.0,22.17176,11.828239440917969,34.78893953211168
2020-03-16,Assam,NER,30.9,33.87674,2.9767395019531264,9.63346117136934
2020-03-17,Assam,NER,26.8,29.804493,3.0044929504394524,11.210794591191986
2020-03-18,Assam,NER,27.6,25.887344,1.712655639648439,6.205274056697243
2020-03-19,Assam,NER,28.7,26.836634,1.8633663177490227,6.492565567069766
2020-03-20,Assam,NER,27.1,27.015184,0.08481559753418111,0.31297268462797456
2020-03-21,Assam,NER,27.2,26.233776,0.9662239074707024,3.5522937774658176
2020-03-22,Assam,NER,19.1,26.497633,7.397632980346678,38.731062724328154
2020-03-23,Assam,NER,20.4,21.174578,0.7745777130126967,3.7969495735916508
2020-03-24,Assam,NER,20.3,20.944933,0.6449329376220696,3.177009544936303
2020-03-25,Assam,NER,20.1,21.2908,1.1908000946044908,5.924378580121844
2020-03-26,Assam,NER,18.2,21.016949,2.8169486999511726,15.477740109621829
2020-03-27,Assam,NER,12.2,19.013634,6.8136337280273445,55.84945678710939
2020-03-28,Assam,NER,17.5,19.262217,1.762216567993164,10.069808959960938
2020-03-29,Assam,NER,24.3,22.235628,2.064371871948243,8.495357497729394
2020-03-30,Assam,NER,25.4,23.23727,2.162729644775389,8.51468364084799
2020-03-31,Assam,NER,24.5,27.349482,2.8494815826416016,11.630537072006538
2020-04-01,Assam,NER,24.9,25.572168,0.672168350219728,2.699471286023004
2020-04-02,Assam,NER,24.8,25.218472,0.41847152709960866,1.687385189917777
2020-04-03,Assam,NER,24.2,25.235394,1.0353935241699226,4.2784856370657955
2020-04-04,Assam,NER,22.5,24.42875,1.9287490844726562,8.572218153211805
2020-04-05,Assam,NER,23.6,23.423172,0.17682800292968892,0.749271198854614
2020-04-13,Assam,NER,21.5,23.827986,2.3279857635498047,10.827840760696766
2020-04-14,Assam,NER,21.1,22.796598,1.6965984344482408,8.040750874162278
2020-04-15,Assam,NER,22.4,22.388521,0.011478805541990766,0.051244667598173074
2020-04-16,Assam,NER,22.8,23.293571,0.49357147216796804,2.1647871586314387
2020-04-17,Assam,NER,22.5,23.241581,0.7415809631347656,3.295915391710069
2020-04-18,Assam,NER,22.5,23.271221,0.7712211608886719,3.4276496039496527
2020-04-19,Assam,NER,23.6,23.505945,0.09405479431152486,0.398537264031885
2020-04-20,Assam,NER,23.4,23.840105,0.44010505676269673,1.8807908408662255
2020-04-21,Assam,NER,23.7,23.55554,0.1444599151611321,0.6095355070089963
2020-04-22,Assam,NER,23.9,23.727695,0.17230453491210795,0.7209394766196986
2020-04-23,Assam,NER,23.6,23.982365,0.3823646545410142,1.62018921415684
2020-04-24,Assam,NER,23.2,23.60778,0.40778045654296946,1.7576743816507305
2020-04-25,Assam,NER,22.1,23.269968,1.1699680328369126,5.2939729992620475
2020-04-26,Assam,NER,28.3,22.783005,5.516995239257813,19.494682824232555
2020-04-27,Assam,NER,26.6,26.991716,0.3917163848876939,1.472617988299601
2020-04-28,Assam,NER,29.9,25.593014,4.306986236572264,14.404636242716604
2020-04-29,Assam,NER,31.2,28.766815,2.4331848144531243,7.798669277093347
2020-04-30,Assam,NER,30.3,29.86174,0.4382598876953132,1.4464022696214958
2020-05-01,Assam,NER,31.1,29.853573,1.246427154541017,4.0078043554373535
2020-05-02,Assam,NER,29.3,30.772196,1.4721958160400384,5.024559099112759
2020-05-03,Assam,NER,21.4,27.876642,6.476642227172853,30.264683304546043
2020-05-04,Assam,NER,24.6,23.235844,1.3641563415527358,5.54535098192169
2020-05-05,Assam,NER,22.8,24.735239,1.9352390289306634,8.487890477766067
