ParsedDate,States,Actual,Predicted,Residual,Absolute_Error
2020-02-28,Andhra Pradesh,199.1,200.42386,-1.3238586425781307,1.3238586425781307
2020-02-29,Andhra Pradesh,194.3,196.79683,-2.496829223632801,2.496829223632801
2020-03-01,Andhra Pradesh,161.9,188.74644,-26.846444702148432,26.846444702148432
2020-03-02,Andhra Pradesh,161.3,161.26474,0.03526000976563637,0.03526000976563637
2020-03-03,Andhra Pradesh,166.8,162.08751,4.712490844726574,4.712490844726574
2020-03-04,Andhra Pradesh,168.6,167.33148,1.2685180664062443,1.2685180664062443
2020-03-05,Andhra Pradesh,171.5,170.20384,1.2961578369140625,1.2961578369140625
2020-03-13,Andhra Pradesh,171.3,168.18886,3.111141967773449,3.111141967773449
2020-03-14,Andhra Pradesh,170.8,169.2963,1.5037048339843864,1.5037048339843864
2020-03-15,Andhra Pradesh,169.3,172.65834,-3.358340454101551,3.358340454101551
2020-03-16,Andhra Pradesh,179.4,172.12547,7.274526977539068,7.274526977539068
2020-03-17,Andhra Pradesh,175.1,178.85132,-3.7513183593750057,3.7513183593750057
2020-03-18,Andhra Pradesh,182.5,172.89977,9.600234985351562,9.600234985351562
2020-03-19,Andhra Pradesh,188.4,180.91537,7.484625244140631,7.484625244140631
2020-03-20,Andhra Pradesh,185.9,184.78531,1.1146911621093807,1.1146911621093807
2020-03-21,Andhra Pradesh,187.1,184.91809,2.1819091796874943,2.1819091796874943
2020-03-22,Andhra Pradesh,162.0,185.56854,-23.56854248046875,23.56854248046875
2020-03-23,Andhra Pradesh,164.1,163.31815,0.7818542480468693,0.7818542480468693
2020-03-24,Andhra Pradesh,160.3,164.69145,-4.391452026367176,4.391452026367176
2020-03-25,Andhra Pradesh,155.6,159.49867,-3.898672485351568,3.898672485351568
2020-03-26,Andhra Pradesh,130.6,153.4702,-22.870199584960943,22.870199584960943
2020-03-27,Andhra Pradesh,139.7,135.47769,4.222308349609364,4.222308349609364
2020-03-28,Andhra Pradesh,148.7,153.27066,-4.570660400390636,4.570660400390636
2020-03-29,Andhra Pradesh,164.0,165.09253,-1.092529296875,1.092529296875
2020-03-30,Andhra Pradesh,167.9,163.2343,4.665701293945318,4.665701293945318
2020-03-31,Andhra Pradesh,173.5,172.32126,1.178741455078125,1.178741455078125
2020-04-01,Andhra Pradesh,173.5,172.60793,0.8920745849609375,0.8920745849609375
2020-04-02,Andhra Pradesh,171.0,173.10947,-2.109466552734375,2.109466552734375
2020-04-03,Andhra Pradesh,164.9,171.38235,-6.482354736328119,6.482354736328119
2020-04-04,Andhra Pradesh,165.1,164.4252,0.6747985839843693,0.6747985839843693
2020-04-05,Andhra Pradesh,190.0,166.73776,23.262237548828125,23.262237548828125
2020-04-13,Andhra Pradesh,192.6,187.8223,4.777703857421869,4.777703857421869
2020-04-14,Andhra Pradesh,193.0,188.34692,4.653076171875,4.653076171875
2020-04-15,Andhra Pradesh,201.0,187.8105,13.189498901367188,13.189498901367188
2020-04-16,Andhra Pradesh,199.4,202.53488,-3.1348815917968693,3.1348815917968693
2020-04-17,Andhra Pradesh,197.4,195.98358,1.4164184570312557,1.4164184570312557
2020-04-18,Andhra Pradesh,195.0,196.14159,-1.1415863037109375,1.1415863037109375
2020-04-19,Andhra Pradesh,164.0,191.72188,-27.721878051757812,27.721878051757812
2020-04-20,Andhra Pradesh,166.7,165.25465,1.4453460693359261,1.4453460693359261
2020-04-21,Andhra Pradesh,165.9,168.19093,-2.290933227539057,2.290933227539057
2020-04-22,Andhra Pradesh,169.2,168.11678,1.0832244873046761,1.0832244873046761
2020-04-23,Andhra Pradesh,172.9,170.98914,1.9108642578125057,1.9108642578125057
2020-04-24,Andhra Pradesh,172.6,172.8274,-0.22739257812500568,0.22739257812500568
2020-04-25,Andhra Pradesh,167.2,173.72255,-6.522549438476574,6.522549438476574
2020-04-26,Andhra Pradesh,174.6,170.35336,4.246636962890619,4.246636962890619
2020-04-27,Andhra Pradesh,183.4,173.95811,9.441885375976568,9.441885375976568
2020-04-28,Andhra Pradesh,193.4,182.19067,11.209326171875006,11.209326171875006
2020-04-29,Andhra Pradesh,184.1,190.83362,-6.733618164062506,6.733618164062506
2020-04-30,Andhra Pradesh,187.5,181.64108,5.858917236328125,5.858917236328125
2020-05-01,Andhra Pradesh,187.2,185.15479,2.0452148437499886,2.0452148437499886
2020-05-02,Andhra Pradesh,189.7,185.1259,4.574099731445301,4.574099731445301
2020-05-03,Andhra Pradesh,163.9,186.13002,-22.230020141601557,22.230020141601557
2020-05-04,Andhra Pradesh,167.5,164.61021,2.8897857666015625,2.8897857666015625
2020-05-05,Andhra Pradesh,170.6,170.23784,0.3621612548828068,0.3621612548828068
2020-05-13,Andhra Pradesh,171.9,174.38895,-2.4889465332031193,2.4889465332031193
2020-05-14,Andhra Pradesh,171.7,174.38895,-2.6889465332031364,2.6889465332031364
2020-05-15,Andhra Pradesh,174.8,173.6289,1.1710937500000114,1.1710937500000114
2020-05-16,Andhra Pradesh,177.3,174.06076,3.2392395019531364,3.2392395019531364
2020-05-17,Andhra Pradesh,184.4,177.85951,6.540487670898443,6.540487670898443
2020-05-18,Andhra Pradesh,180.6,185.01521,-4.415213012695318,4.415213012695318
2020-05-19,Andhra Pradesh,184.6,180.78897,3.8110290527343693,3.8110290527343693
2020-05-20,Andhra Pradesh,189.5,188.18498,1.3150177001953125,1.3150177001953125
2020-05-21,Andhra Pradesh,188.1,188.31776,-0.21776428222656818,0.21776428222656818
2020-05-22,Andhra Pradesh,187.4,187.66435,-0.2643524169921818,0.2643524169921818
2020-05-23,Andhra Pradesh,180.5,187.1076,-6.60760498046875,6.60760498046875
2020-06-01,Andhra Pradesh,151.6,180.69221,-29.092214965820318,29.092214965820318
2020-06-02,Andhra Pradesh,152.6,155.59561,-2.9956115722656307,2.9956115722656307
2020-06-03,Andhra Pradesh,153.2,156.08315,-2.883145141601574,2.883145141601574
2020-06-04,Andhra Pradesh,156.4,155.70393,0.6960662841796932,0.6960662841796932
2020-06-05,Andhra Pradesh,156.0,154.87204,1.127960205078125,1.127960205078125
2020-07-01,Andhra Pradesh,155.0,156.35783,-1.3578338623046875,1.3578338623046875
2020-07-02,Andhra Pradesh,150.3,157.8598,-7.559802246093739,7.559802246093739
2020-07-03,Andhra Pradesh,157.2,159.33073,-2.130734252929699,2.130734252929699
2020-07-04,Andhra Pradesh,153.6,166.08006,-12.480062866210943,12.480062866210943
2020-07-05,Andhra Pradesh,159.4,162.19469,-2.794686889648432,2.794686889648432
2020-08-01,Andhra Pradesh,163.6,163.72934,-0.12933959960938068,0.12933959960938068
2020-08-02,Andhra Pradesh,167.9,166.43527,1.4647277832031307,1.4647277832031307
2020-08-03,Andhra Pradesh,169.6,176.45319,-6.853186035156256,6.853186035156256
2020-08-04,Andhra Pradesh,169.7,171.53847,-1.8384674072265739,1.8384674072265739
2020-08-05,Andhra Pradesh,195.3,176.44844,18.8515594482422,18.8515594482422
2020-09-01,Andhra Pradesh,195.9,191.35097,4.549032592773443,4.549032592773443
2020-09-02,Andhra Pradesh,201.2,191.4592,9.740802001953114,9.740802001953114
2020-09-03,Andhra Pradesh,199.5,201.25635,-1.75634765625,1.75634765625
2020-09-04,Andhra Pradesh,194.7,195.48592,-0.7859161376953239,0.7859161376953239
2020-09-05,Andhra Pradesh,185.7,190.34991,-4.649914550781261,4.649914550781261
2020-10-01,Andhra Pradesh,182.4,185.2605,-2.8604980468749943,2.8604980468749943
2020-10-02,Andhra Pradesh,169.9,179.5164,-9.616403198242182,9.616403198242182
2020-10-03,Andhra Pradesh,171.9,169.77565,2.124349975585943,2.124349975585943
2020-10-04,Andhra Pradesh,171.4,170.70132,0.6986755371093807,0.6986755371093807
2020-10-05,Andhra Pradesh,179.4,172.16881,7.231192016601568,7.231192016601568
2020-11-01,Andhra Pradesh,169.3,173.2302,-3.9301940917968636,3.9301940917968636
2020-11-02,Andhra Pradesh,179.4,171.60184,7.798162841796881,7.798162841796881
2020-11-03,Andhra Pradesh,175.1,179.17836,-4.078359985351568,4.078359985351568
2020-11-04,Andhra Pradesh,195.1,173.17339,21.926614379882807,21.926614379882807
2020-11-05,Andhra Pradesh,195.8,189.49376,6.306240844726574,6.306240844726574
2020-12-01,Andhra Pradesh,196.5,191.384,5.115997314453125,5.115997314453125
2020-12-02,Andhra Pradesh,197.6,190.95937,6.640634155273432,6.640634155273432
2020-12-03,Andhra Pradesh,197.3,195.27435,2.0256469726562614,2.0256469726562614
2020-12-04,Andhra Pradesh,186.1,194.90167,-8.801672363281256,8.801672363281256
2020-12-05,Andhra Pradesh,181.9,185.34634,-3.4463439941406193,3.4463439941406193
